"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","11月支払金額","12月繰越残高","新規サイン"
"2023/10/16","ｱｺﾞﾀﾞ","本人","1回払い","13345","0","13345","13345","0","*"
"2023/10/16","ｱｺﾞﾀﾞ","本人","1回払い","13140","0","13140","13140","0","*"
"2023/10/16","ﾏﾂﾁﾔﾊｳｽﾅﾝﾊﾞｳｵ-ｸ/","本人","1回払い","1155","0","1155","1155","0","*"
"2023/10/16","楽天ＳＰ　くら寿司　アプリ","本人","1回払い","672","0","672","672","0","*"
"2023/10/14","ｱｺﾞﾀﾞ","本人","1回払い","10034","0","10034","10034","0","*"
"2023/10/08","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","412","0","412","412","0","*"
"2023/10/08","楽天ＳＰ　島忠　アプリ","本人","1回払い","128","0","128","128","0","*"
"2023/10/07","ﾄﾞﾝｷﾎｰﾃｶﾝﾅﾅﾎｳﾅﾝﾁ","本人","1回払い","3765","0","3765","3765","0","*"
"2023/10/07","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","541","0","541","541","0","*"
"2023/10/07","楽天ＳＰ　マツモトキヨシグループアプリ","本人","1回払い","730","0","730","730","0","*"
"2023/10/06","ﾀｲﾜﾝﾃﾝｼﾖｳﾃﾝ ｼﾝｼﾞ","本人","1回払い","950","0","950","950","0","*"
"2023/10/05","ﾘﾝｶﾞ-ﾊﾂﾄﾆｼｼﾝｼﾞﾕｸ","本人","1回払い","920","0","920","920","0","*"
"2023/10/05","ﾄﾞﾝｷﾎｰﾃｶﾝﾅﾅﾎｳﾅﾝﾁ","本人","1回払い","757","0","757","757","0","*"
"2023/10/05","ﾄﾞﾝｷﾎｰﾃｼﾝｼﾞｭｸﾄｳﾅ","本人","1回払い","321","0","321","321","0","*"
"2023/10/04","ﾄﾞﾝｷﾎｰﾃｼﾝｼﾞｭｸﾄｳﾅ","本人","1回払い","583","0","583","583","0","*"
"2023/10/04","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","641","0","641","641","0","*"
"2023/10/04","楽天ＳＰ　フレンテ笹塚アプリ","本人","1回払い","390","0","390","390","0","*"
"2023/10/03","ﾄﾞﾝｷﾎｰﾃｶﾝﾅﾅﾎｳﾅﾝﾁ","本人","1回払い","329","0","329","329","0","*"
"2023/10/03","楽天ＳＰ　ＤＡＩＳＯアプリ","本人","1回払い","70","0","70","70","0","*"
"2023/10/02","楽天ＳＰ　サミットストアアプリ","本人","1回払い","1146","0","1146","1146","0","*"
"2023/10/01","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","1127","0","1127","1127","0","*"
"2023/10/01","楽天ＳＰ　楽天ペイ加盟店アプリ","本人","1回払い","374","0","374","374","0","*"
"2023/09/29","ＪＩＮＳオンラインショップ","本人","1回払い","15400","0","15400","15400","0","*"
"2023/09/29","マクドナルド　モバイルオーダー","本人","1回払い","650","0","650","650","0","*"
"2023/09/27","楽天ＳＰ　ＤＡＩＳＯアプリ","本人","1回払い","110","0","110","110","0","*"
